iter	Passed	Remaining
489	659	686
490	660	684
491	661	682
492	662	681
493	663	679
494	664	678
495	666	677
496	667	675
497	668	673
498	669	672
499	670	670
500	671	669
501	672	667
502	673	665
503	674	664
504	676	662
505	677	661
506	678	659
507	679	658
508	680	656
509	681	655
510	682	653
511	684	652
512	685	650
513	686	649
514	687	647
515	688	646
516	690	644
517	691	643
518	692	641
519	693	639
520	694	638
521	695	636
522	696	635
523	698	634
524	699	632
525	701	631
526	702	630
527	703	628
528	704	627
529	706	626
530	707	625
531	709	623
532	710	622
533	711	620
534	712	619
535	713	617
536	714	616
537	715	614
538	717	613
539	719	613
540	721	611
541	722	610
542	723	608
543	724	607
544	725	605
545	726	604
546	728	602
547	729	602
548	731	600
549	732	599
550	733	597
551	734	596
552	735	594
553	736	593
554	738	591
555	739	590
556	740	588
557	741	587
558	742	585
559	743	584
560	745	583
561	746	581
562	747	580
563	749	579
564	750	577
565	751	576
566	752	574
567	753	573
568	754	571
569	755	570
570	756	568
571	757	566
572	759	565
573	760	564
574	761	562
575	762	561
576	764	560
577	765	559
578	766	557
579	768	556
580	768	554
581	770	553
582	771	551
583	772	550
584	774	549
585	775	547
586	776	546
587	777	544
588	778	543
589	779	541
590	781	540
591	782	539
592	783	537
593	784	536
594	786	535
595	788	534
596	789	532
597	793	533
598	796	533
599	797	531
600	799	530
601	800	529
602	802	528
603	806	528
604	807	527
605	808	525
606	810	524
607	811	523
608	812	521
609	813	520
610	814	518
611	815	517
612	817	515
613	818	514
614	819	513
615	821	511
616	822	510
617	823	509
618	824	507
619	826	506
620	827	505
621	828	503
622	830	502
623	831	500
624	833	499
625	834	498
626	835	496
627	836	495
628	837	494
629	838	492
630	839	491
631	841	489
632	842	488
633	843	487
634	845	485
635	846	484
636	847	482
637	848	481
638	849	480
639	850	478
640	851	477
641	852	475
642	853	474
643	855	472
644	856	471
645	858	470
646	860	469
647	861	467
648	862	466
649	863	465
650	864	463
651	865	462
652	867	460
653	868	459
654	869	457
655	870	456
656	871	455
657	872	453
658	873	452
659	875	451
660	877	449
661	878	448
662	879	447
663	881	446
664	882	444
665	883	443
666	885	441
667	886	440
668	887	439
669	888	437
670	889	436
671	891	435
672	893	434
673	894	432
674	895	431
675	897	430
676	898	428
677	899	427
678	901	425
679	902	424
680	903	423
681	904	421
682	905	420
683	906	419
684	908	417
685	909	416
686	910	414
687	911	413
688	912	412
689	913	410
690	915	409
691	916	407
692	917	406
693	918	404
694	919	403
695	920	402
696	921	400
697	922	399
698	924	397
699	925	396
700	926	395
701	927	393
702	928	392
703	929	390
704	931	389
705	932	388
706	933	386
707	934	385
708	935	384
709	937	382
710	938	381
711	939	379
712	940	378
713	941	377
714	942	375
715	944	374
716	945	373
717	946	371
718	947	370
719	948	368
720	949	367
721	950	366
722	951	364
723	952	363
724	953	361
725	955	360
726	956	359
727	957	357
728	958	356
729	959	354
730	960	353
731	962	352
732	963	350
733	964	349
734	965	348
735	966	346
736	967	345
737	969	344
738	970	342
739	971	341
740	972	339
741	973	338
742	974	337
743	975	335
744	976	334
745	978	333
746	979	331
747	980	330
748	981	329
749	982	327
750	983	326
751	984	324
752	985	323
753	987	322
754	988	320
755	989	319
756	990	317
757	991	316
758	992	315
759	994	313
760	995	312
761	996	311
762	997	309
763	998	308
764	999	307
765	1001	305
766	1002	304
767	1003	303
768	1004	301
769	1005	300
770	1007	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1013	290
777	1014	289
778	1015	288
779	1017	286
780	1018	285
781	1019	284
782	1020	282
783	1021	281
784	1022	280
785	1024	278
786	1025	277
787	1026	276
788	1027	274
789	1028	273
790	1029	272
791	1030	270
792	1032	269
793	1033	268
794	1034	266
795	1035	265
796	1036	263
797	1037	262
798	1038	261
799	1039	259
800	1040	258
801	1042	257
802	1043	255
803	1044	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1050	247
809	1051	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1063	231
821	1065	230
822	1066	229
823	1067	227
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1074	220
830	1075	218
831	1076	217
832	1077	216
833	1078	214
834	1079	213
835	1081	212
836	1082	210
837	1083	209
838	1084	208
839	1085	206
840	1086	205
841	1088	204
842	1089	202
843	1090	201
844	1091	200
845	1092	198
846	1093	197
847	1094	196
848	1096	194
849	1097	193
850	1098	192
851	1099	190
852	1100	189
853	1101	188
854	1102	187
855	1103	185
856	1104	184
857	1106	183
858	1107	181
859	1108	180
860	1109	179
861	1110	177
862	1111	176
863	1112	175
864	1114	173
865	1115	172
866	1116	171
867	1117	169
868	1118	168
869	1119	167
870	1121	166
871	1122	164
872	1123	163
873	1124	162
874	1125	160
875	1126	159
876	1127	158
877	1129	156
878	1130	155
879	1131	154
880	1132	152
881	1133	151
882	1134	150
883	1136	149
884	1137	147
885	1138	146
886	1139	145
887	1140	143
888	1141	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1147	136
894	1148	134
895	1149	133
896	1150	132
897	1151	130
898	1152	129
899	1153	128
900	1155	126
901	1156	125
902	1157	124
903	1158	123
904	1159	121
905	1160	120
906	1162	119
907	1163	117
908	1164	116
909	1165	115
910	1166	114
911	1168	112
912	1169	111
913	1171	110
914	1172	108
915	1173	107
916	1174	106
917	1175	105
918	1176	103
919	1177	102
920	1179	101
921	1180	99
922	1181	98
923	1182	97
924	1183	95
925	1184	94
926	1186	93
927	1187	92
928	1188	90
929	1189	89
930	1190	88
931	1191	86
932	1192	85
933	1193	84
934	1195	83
935	1196	81
936	1197	80
937	1198	79
938	1199	77
939	1200	76
940	1201	75
941	1202	74
942	1204	72
943	1205	71
944	1206	70
945	1207	68
946	1208	67
947	1209	66
948	1210	65
949	1211	63
950	1213	62
951	1214	61
952	1215	59
953	1216	58
954	1217	57
955	1218	56
956	1219	54
957	1221	53
958	1222	52
959	1223	50
960	1224	49
961	1225	48
962	1226	47
963	1227	45
964	1229	44
965	1230	43
966	1231	42
967	1232	40
968	1233	39
969	1234	38
970	1235	36
971	1236	35
972	1238	34
973	1239	33
974	1240	31
975	1241	30
976	1242	29
977	1243	27
978	1245	26
979	1246	25
980	1247	24
981	1248	22
982	1249	21
983	1251	20
984	1252	19
985	1253	17
986	1254	16
987	1255	15
988	1256	13
989	1257	12
990	1258	11
991	1260	10
992	1261	8
993	1262	7
994	1263	6
995	1264	5
996	1265	3
997	1266	2
998	1268	1
999	1269	0
