iter	RMSE
632	1355.055699
633	1349.822439
634	1343.756182
635	1338.622631
636	1333.117591
637	1327.834366
638	1323.812777
639	1316.130327
640	1308.675287
641	1301.441162
642	1294.42161
643	1287.610441
644	1282.450625
645	1275.954883
646	1268.220035
647	1263.333574
648	1255.784492
649	1250.108302
650	1244.560733
651	1238.752046
652	1233.348563
653	1226.905681
654	1221.647861
655	1216.060258
656	1212.135683
657	1208.27385
658	1203.728696
659	1199.25845
660	1194.861719
661	1190.53714
662	1186.28338
663	1182.099132
664	1177.983118
665	1173.93409
666	1169.950823
667	1166.032121
668	1162.17681
669	1158.383745
670	1154.651801
671	1149.862297
672	1144.802997
673	1141.190587
674	1136.519182
675	1132.829776
676	1128.265867
677	1124.768081
678	1120.181594
679	1115.802466
680	1112.356342
681	1107.166876
682	1099.646282
683	1092.309407
684	1085.151669
685	1080.745763
686	1076.446027
687	1072.964822
688	1068.786663
689	1064.47534
690	1060.448071
691	1056.516664
692	1052.425647
693	1048.25718
694	1045.449341
695	1042.298609
696	1039.196555
697	1036.142361
698	1033.199755
699	1030.192953
700	1027.309864
701	1024.349481
702	1021.524644
703	1018.756618
704	1015.841893
705	1012.078555
706	1009.226423
707	1005.543257
708	1002.752275
709	999.1476609
710	996.3141154
711	992.4661122
712	987.3534997
713	984.7518816
714	982.2028764
715	979.7053998
716	974.7058797
717	971.4651476
718	968.0559227
719	964.7034627
720	959.8280235
721	956.2693905
722	951.5259367
723	948.3692243
724	945.2984852
725	940.633114
726	938.2984603
727	935.3142795
728	930.7354655
729	928.4601435
730	926.2306369
731	923.3374765
732	918.8482575
733	916.6751072
734	915.6015347
735	911.5382336
736	907.1380074
737	902.8172614
738	900.5683878
739	897.7743926
740	893.5429234
741	890.7458962
742	888.5427843
743	886.377259
744	882.4393651
745	878.3472482
746	874.9845009
747	870.9709434
748	867.0297193
749	863.1594095
750	859.3586259
751	856.6520305
752	852.9160229
753	849.6865044
754	846.5661637
755	843.5037907
756	839.880049
757	836.8942762
758	833.355509
759	830.7190382
760	827.8033259
761	824.4298124
762	821.822723
763	819.2617098
764	816.7458176
765	814.4366293
766	811.1496454
767	808.3589032
768	805.136282
769	802.7419693
770	800.5329698
771	798.3599718
772	795.2056815
773	792.7265399
774	790.0927107
775	786.6786409
776	784.2506337
777	781.86686
778	779.5264132
779	777.8468083
780	776.1987953
781	773.6454532
782	771.3664066
783	769.7536691
784	767.5886072
785	765.3679651
786	763.7869851
787	761.3611662
788	759.8084013
789	757.6464279
790	756.1259915
791	753.7537227
792	752.2601628
793	749.9310296
794	748.5518683
795	746.2655926
796	742.7985616
797	741.4542769
798	739.2023821
799	735.946915
800	732.6004026
801	731.2946335
802	728.1417544
803	725.0630682
804	722.056861
805	721.1925861
806	719.2920816
807	718.4433617
808	717.653134
809	714.6302807
810	711.6606628
811	708.7433414
812	706.7586462
813	703.8996616
814	701.9582662
815	699.1564089
816	696.403989
817	694.511344
818	693.7009073
819	691.9288626
820	689.2359138
821	686.5905911
822	684.7671343
823	682.1744873
824	680.0961044
825	677.9325841
826	675.8055978
827	674.0456622
828	671.8266758
829	669.8219131
830	667.3629783
831	665.6517628
832	663.5010147
833	661.5548373
834	659.1649802
835	657.5008051
836	655.600385
837	653.2618561
838	651.202833
839	649.3509641
840	647.5846058
841	645.6753539
842	644.0684364
843	642.325823
844	640.5103844
845	638.271163
846	636.7032982
847	634.0802826
848	632.3639715
849	631.6122074
850	630.8727485
851	629.096055
852	628.3687586
853	626.6240659
854	625.9086647
855	625.2049527
856	623.4915122
857	622.7992359
858	622.1182555
859	620.6340039
860	618.9727853
861	618.3605602
862	616.573537
863	614.4257467
864	613.0002316
865	611.2747196
866	609.8328932
867	608.1449755
868	606.3052741
869	604.2595577
870	602.8584208
871	601.1285
872	599.3382111
873	597.6357005
874	596.2590227
875	594.6608829
876	592.979361
877	590.0923999
878	588.4552997
879	587.0555376
880	585.4876825
881	584.1207454
882	582.5036443
883	581.1618132
884	579.6380554
885	577.7089533
886	576.017471
887	574.7108079
888	573.4253341
889	571.5469811
890	570.0855089
891	568.4885628
892	567.2249008
893	564.5211288
894	562.7054299
895	561.1463261
896	558.8505661
897	555.52301
898	554.2926651
899	551.0391661
900	549.7651519
901	547.5307432
902	546.3478372
903	543.1606101
904	541.9495681
905	541.3867881
906	539.3931894
907	537.9118476
908	534.7991063
909	534.2493431
910	533.0855074
911	530.0462175
912	529.511283
913	528.984318
914	527.8735789
915	527.3584049
916	524.8266321
917	521.8611057
918	519.9500084
919	517.0417503
920	516.2490191
921	515.7540127
922	514.6817523
923	514.1978962
924	511.3582076
925	509.497622
926	508.5541328
927	507.5186179
928	504.484121
929	503.8634902
930	502.6273833
931	499.3392934
932	498.1221849
933	497.1305414
934	495.7275809
935	494.3491723
936	493.6431067
937	492.2880074
938	489.9006069
939	488.5295855
940	485.3686677
941	484.6770563
942	483.7066478
943	482.4675481
944	481.7922225
945	480.2408502
946	479.5768216
947	476.8940762
948	475.5591192
949	472.5070087
950	470.0250785
951	469.56128
952	467.8226583
953	466.5532174
954	463.9639372
955	462.6865629
956	459.7764308
957	459.2982782
958	458.8281606
959	458.3891264
960	457.223324
961	455.8096754
962	452.9772606
963	451.3370661
964	450.8866144
965	450.4643012
966	449.086915
967	446.3240368
968	444.7479487
969	444.3161739
970	442.9764613
971	441.0891577
972	438.4147886
973	437.9847954
974	437.562027
975	436.0540218
976	435.1434537
977	433.8438474
978	432.0061734
979	430.1986887
980	429.7825462
981	428.0019793
982	426.8101451
983	426.3987804
984	425.5072591
985	423.7510846
986	423.3441734
987	422.186097
988	421.3189121
989	420.9195573
990	419.8014255
991	417.2963174
992	416.1656268
993	415.7794963
994	414.9335879
995	414.5541801
996	413.476179
997	412.6493196
998	410.3480583
999	409.2269054
